,Winner,RedFighter,BlueFighter,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,HeightDif,ReachDif,AgeDif,Finish,HeightAdvantage,ReachAdvantage,AgeAdvantage
1274,Red,Chase Hooper,Felipe Colares,172.72,175.26,145,185.42,187.96,155,22,28,-12.7,-12.7,6,KO/TKO,1.0,1.0,0.0
1276,Red,Jan Blachowicz,Aleksandar Rakic,193.04,198.12,205,187.96,198.12,205,39,30,5.08,0.0,-9,KO/TKO,0.0,,1.0
1277,Red,Ryan Spann,Ion Cutelaba,185.42,190.5,205,195.58,200.66,205,30,28,-10.16,-10.16,-2,SUB,1.0,1.0,1.0
1278,Red,Davey Grant,Louis Smolka,175.26,172.72,135,172.72,175.26,135,36,30,2.54,-2.54,-6,KO/TKO,0.0,1.0,1.0
1279,Red,Katlyn Chookagian,Amanda Ribas,160.02,167.64,125,175.26,172.72,125,33,28,-15.24,-5.08,-5,S-DEC,1.0,1.0,1.0
1282,Red,Viviane Araujo,Andrea Lee,167.64,175.26,125,162.56,172.72,125,35,33,5.08,2.54,-2,U-DEC,0.0,0.0,1.0
1283,Red,Michael Johnson,Alan Patrick,180.34,187.96,155,177.8,185.42,155,35,38,2.54,2.54,3,KO/TKO,0.0,0.0,0.0
1284,Red,Virna Jandiroba,Angela Hill,160.02,162.56,115,160.02,162.56,115,33,37,0.0,0.0,4,U-DEC,,,0.0
1285,Red,Tatsuro Taira,Carlos Candelario,172.72,172.72,125,170.18,177.8,125,22,30,2.54,-5.08,8,U-DEC,0.0,1.0,0.0
1287,Red,Charles Oliveira,Justin Gaethje,180.34,177.8,155,177.8,187.96,155,32,33,2.54,-10.16,1,SUB,0.0,1.0,0.0
1289,Red,Michael Chandler,Tony Ferguson,180.34,193.04,170,172.72,180.34,155,36,38,7.62,12.7,2,KO/TKO,0.0,0.0,0.0
1291,Red,Randy Brown,Khaos Williams,182.88,195.58,170,190.5,198.12,170,31,28,-7.62,-2.54,-3,S-DEC,1.0,1.0,1.0
1292,Red,Francisco Trinaldo,Danny Roberts,185.42,187.96,170,175.26,177.8,170,43,34,10.16,10.16,-9,U-DEC,0.0,0.0,1.0
1293,Red,Macy Chiasson,Norma Dumont,170.18,170.18,135,180.34,182.88,135,30,31,-10.16,-12.7,1,S-DEC,1.0,1.0,0.0
1294,Red,Brandon Royval,Matt Schnell,172.72,177.8,125,175.26,172.72,125,29,32,-2.54,5.08,3,SUB,1.0,0.0,0.0
1295,Red,Blagoy Ivanov,Marcos Rogerio de Lima,185.42,190.5,253,180.34,185.42,250,35,36,5.08,5.08,1,U-DEC,0.0,0.0,0.0
1296,Red,Andre Fialho,Cameron VanCamp,187.96,187.96,155,182.88,187.96,170,28,29,5.08,0.0,1,KO/TKO,0.0,,0.0
1297,Red,Tracy Cortez,Melissa Gatto,165.1,175.26,135,165.1,165.1,125,28,26,0.0,10.16,-2,U-DEC,,0.0,1.0
1300,Red,Journey Newson,Fernie Garcia,170.18,170.18,135,165.1,170.18,135,33,30,5.08,0.0,-3,U-DEC,0.0,,1.0
1302,Red,Andrei Arlovski,Jake Collier,190.5,198.12,230,190.5,195.58,240,43,33,0.0,2.54,-10,S-DEC,,0.0,1.0
1305,Red,Darren Elkins,Tristan Connelly,177.8,172.72,145,177.8,180.34,145,37,36,0.0,-7.62,-1,U-DEC,,1.0,1.0
1306,Red,Krzysztof Jotko,Gerald Meerschaert,185.42,195.58,185,185.42,195.58,185,32,34,0.0,0.0,2,U-DEC,,,0.0
1307,Red,Alexandr Romanov,Chase Sherman,193.04,198.12,250,187.96,190.5,262,31,32,5.08,7.62,1,SUB,0.0,0.0,0.0
1309,Red,Gabe Green,Yohan Lainesse,185.42,193.04,170,177.8,185.42,155,28,29,7.62,7.62,1,KO/TKO,0.0,0.0,0.0
1310,Red,Natan Levy,Mike Breeden,177.8,177.8,155,175.26,180.34,155,30,33,2.54,-2.54,3,U-DEC,0.0,1.0,0.0
1314,Red,Maycee Barber,Montana De La Rosa,170.18,172.72,125,165.1,165.1,125,23,27,5.08,7.62,4,U-DEC,0.0,0.0,0.0
1318,Red,Tyson Pedro,Ike Villanueva,185.42,185.42,205,190.5,200.66,205,30,38,-5.08,-15.24,8,KO/TKO,1.0,1.0,0.0
1319,Red,Aoriqileng,Cameron Else,175.26,180.34,135,170.18,175.26,135,28,34,5.08,5.08,6,KO/TKO,0.0,0.0,0.0
1320,Red,Preston Parsons,Evan Elder,177.8,182.88,155,180.34,180.34,170,26,25,-2.54,2.54,-1,U-DEC,1.0,0.0,1.0
1324,Red,Caio Borralho,Gadzhi Omargadzhiev,185.42,180.34,170,185.42,190.5,185,29,29,0.0,-10.16,0,U-DEC,,1.0,
1326,Red,Mayra Bueno Silva,Wu Yanan,172.72,167.64,135,167.64,167.64,135,30,25,5.08,0.0,-5,U-DEC,0.0,,1.0
1327,Red,Pat Sabatini,TJ Laramie,167.64,167.64,145,172.72,177.8,145,31,24,-5.08,-10.16,-7,U-DEC,1.0,1.0,1.0
1328,Red,Mounir Lazzez,Ange Loosa,177.8,187.96,170,185.42,193.04,170,34,29,-7.62,-5.08,-5,U-DEC,1.0,1.0,1.0
